CustomerID,AvgSpend,TotalItems,AvgSession,AvgRating,Cluster_KMeans,Cluster_HC,Cluster_DBSCAN,Cluster_GMM
1000,68301.8,10,259.4,3.815167087663472,0,3,-1,0
1001,63524.8,12,237.0,2.368077989688495,1,0,-1,3
1002,52949.666666666664,14,139.33333333333334,3.90076036306939,1,0,-1,3
1003,38998.25,13,264.75,3.49351175182443,2,1,0,1
1004,35137.4,14,311.0,3.2233341427069613,3,2,-1,1
1005,61937.0,6,146.66666666666666,1.9942011691088044,1,0,-1,3
1006,47716.444444444445,25,275.44444444444446,3.137834573321171,2,1,-1,1
1007,32624.4,12,248.6,2.5365400501774884,3,2,-1,2
1008,49650.6,9,222.6,2.93589678470097,1,0,0,1
1009,24156.5,8,201.25,3.2675611380150493,3,2,-1,0
1010,53241.333333333336,17,265.1666666666667,3.3381661689731765,2,1,0,1
1011,10176.0,6,127.0,3.752851721158266,1,2,-1,0
1012,43677.0,6,246.5,2.4349299085017257,3,2,-1,2
1013,30646.5,6,176.5,3.479057730881768,1,2,-1,0
1014,43156.181818181816,31,224.72727272727272,2.841481141629892,2,1,-1,1
1015,71247.33333333333,10,305.6666666666667,2.901987374415487,0,3,0,3
1016,54026.142857142855,13,210.0,2.4122473483006552,1,0,0,1
1017,56617.72727272727,23,210.54545454545453,2.4916178876915662,2,1,-1,1
1018,60969.833333333336,13,236.33333333333334,2.7153090139319063,1,0,0,1
1019,44560.0,20,265.57142857142856,2.9560614961365164,2,1,0,1
1020,45326.166666666664,11,179.0,2.8860992488689443,1,0,0,1
1021,42257.25,12,353.5,4.043665836117919,0,3,-1,0
1022,62343.5,10,276.75,2.882239993288706,0,3,0,3
1023,55268.88888888889,21,270.44444444444446,2.7935465748403634,2,1,0,1
1024,21696.0,8,181.0,2.990204056290145,3,2,-1,2
1025,15682.0,4,220.0,4.5126337647013735,3,2,-1,0
1026,16132.333333333334,7,92.33333333333333,3.3887134210643937,1,2,-1,0
1027,53042.0,16,190.66666666666666,3.8132257828142975,2,1,-1,1
1028,47251.0,11,254.5,2.9202614952559576,3,1,0,1
1029,32495.4,24,265.2,2.1500337596793857,2,1,-1,1
1030,33268.0,14,154.0,2.4774502895349886,1,0,-1,1
1031,74906.0,4,240.0,3.4195744106066965,0,0,-1,3
1032,44988.75,18,155.375,2.915729889525995,2,1,-1,1
1033,28724.0,2,30.0,4.440230115336021,1,0,-1,0
1034,54260.4,15,222.2,3.0466391813311176,2,1,0,1
1035,56464.75,9,353.0,3.389380670716844,0,3,-1,0
1036,8613.666666666666,8,196.66666666666666,2.5113291223970085,3,2,-1,2
1037,65544.0,23,192.71428571428572,2.8647043224151503,2,1,-1,1
1038,58163.666666666664,14,182.83333333333334,3.2864738178396267,1,0,0,1
1039,29593.85714285714,15,222.0,3.670770080928272,2,1,-1,1
1040,67954.0,12,384.75,3.3732597749282203,0,3,-1,0
1041,74309.0,6,114.5,3.6685968587762874,1,0,-1,3
1042,57174.666666666664,12,188.0,2.001274588732615,1,0,-1,3
1044,53987.4,12,196.4,3.4268517641210847,1,0,0,1
1045,40370.5,5,127.0,2.898516458167867,1,0,-1,2
1046,31144.5,17,245.75,2.655950907447007,2,1,0,1
1047,40949.6,14,223.2,3.247227017339425,2,1,0,1
1048,38730.8,17,241.6,3.1600857248872183,2,1,0,1
1049,41604.57142857143,19,227.42857142857142,2.175292144139262,2,1,-1,1
1050,68099.0,4,424.0,3.2783652031707415,0,3,-1,0
1051,40074.4,12,340.0,3.1713464310007553,3,2,-1,1
1052,45850.75,14,188.25,3.718977310469963,1,1,-1,1
1053,62857.5,11,282.25,3.034822636179202,0,3,0,1
1054,32568.5,7,193.5,3.2174793118441407,1,2,-1,1
1055,70065.33333333333,10,190.0,2.6378902263698216,1,0,1,3
1056,47982.818181818184,28,241.8181818181818,2.556675168237055,2,1,-1,1
1057,80752.2,12,291.8,2.7655828117225965,0,3,-1,3
1058,50121.875,21,237.25,2.81152772579922,2,1,0,1
1059,56909.2,10,191.8,3.7916568102004504,0,0,2,0
1060,55222.8,9,239.4,3.4497286414079467,0,0,7,1
1061,44689.333333333336,7,255.33333333333334,3.372699070077269,0,0,0,1
1062,37100.125,23,280.875,2.6436847607823744,2,1,-1,1
1063,42886.666666666664,7,468.0,2.11829609461518,3,2,-1,2
1064,70973.8,13,217.2,3.065814353880342,0,0,0,1
1065,62971.75,8,224.0,3.2658808772660084,0,0,-1,3
1066,48935.4,12,249.6,2.7715472471268603,1,1,0,1
1067,41783.2,10,404.2,2.3887158656777627,3,2,-1,2
1068,37125.42857142857,16,297.85714285714283,3.1127564958264315,2,2,0,1
1069,61546.5,14,211.33333333333334,3.1220343425805024,1,0,0,1
1070,29450.25,14,224.5,2.23905867808238,3,2,-1,2
1071,66584.875,25,311.125,2.473567571721939,2,1,-1,1
1072,6517.0,4,151.0,1.5031554622146013,3,2,-1,2
